time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
1.27,858,2.02512,5.10537,0.634033,-6.38366,1000.73,8636.42,-2.61253,15.3635,1.64901,5.55352
1.28,858,2.03155,5.04186,0.655309,-6.31335,1000.73,8590.7,-2.588,15.4183,1.63755,5.60826
1.29,858,2.03821,4.97906,0.676608,-6.24113,1000.74,8679.39,-2.59029,15.6629,1.66492,5.85292
1.3,858,2.04507,4.917,0.698692,-6.16556,1000.75,8820.01,-2.54163,15.881,1.76795,6.07099
1.31,858,2.05217,4.8557,0.721475,-6.08987,1000.72,8533.61,-2.38209,15.5359,1.77324,5.72588
1.32,858,2.05948,4.79512,0.743092,-6.02179,1000.66,7803.75,-2.2076,14.5758,1.57907,4.7658
1.33,858,2.06701,4.73518,0.762362,-5.9634,1000.63,7393.14,-2.17575,13.9573,1.39875,4.1473
1.34,858,2.07472,4.6758,0.780999,-5.90511,1000.66,7770.39,-2.24698,14.5099,1.49584,4.69991
1.35,858,2.08262,4.61706,0.801871,-5.83557,1000.72,8448.03,-2.24485,15.7264,1.80869,5.91638
1.36,858,2.09075,4.55908,0.825541,-5.75455,1000.74,8684.98,-2.13508,16.4041,2.01587,6.59409
1.37,858,2.09912,4.50192,0.849693,-5.67177,1000.71,8335.88,-2.02418,16.0875,1.94415,6.27755
1.38,858,2.10772,4.44556,0.871954,-5.59563,1000.66,7812.92,-1.96524,15.3261,1.73912,5.51608
1.39,858,2.11654,4.38993,0.892116,-5.52655,1000.64,7513.32,-1.92116,14.859,1.62639,5.04898
1.4,858,2.12555,4.33497,0.91165,-5.45928,1000.64,7521.93,-1.84113,14.9537,1.69543,5.14369
1.41,858,2.13476,4.2807,0.932101,-5.38908,1000.65,7637.71,-1.71105,15.2646,1.86441,5.45463
1.42,858,2.14419,4.22714,0.953319,-5.31743,1000.63,7451.05,-1.57481,15.0946,1.89799,5.28457
1.43,858,2.15382,4.17427,0.97286,-5.25232,1000.58,6787.36,-1.4918,14.1534,1.6577,4.34344
1.44,858,2.16363,4.122,0.988809,-5.19918,1000.52,6167.98,-1.45287,13.1874,1.3964,3.37737
1.45,858,2.17359,4.07022,1.0029,-5.15192,1000.53,6199.99,-1.3885,13.2269,1.46243,3.41687
1.46,858,2.18369,4.01893,1.01846,-5.09873,1000.56,6639.15,-1.27211,14.1328,1.76651,4.32275
1.47,858,2.19396,3.96822,1.03596,-5.03657,1000.57,6780.52,-1.16099,14.7473,1.92777,4.93731
1.48,858,2.20441,3.91815,1.05294,-4.97317,1000.55,6466.7,-1.1016,14.5122,1.83032,4.70218
1.49,858,2.21502,3.86869,1.06766,-4.9154,1000.52,6099.74,-1.05904,14.01,1.69335,4.2
1.5,858,2.22577,3.81979,1.08078,-4.86177,1000.51,5999.86,-0.983701,13.9557,1.71056,4.14575
1.51,858,2.23665,3.77142,1.09393,-4.80667,1000.52,6102.74,-0.863179,14.3435,1.86393,4.53352
