tU_D,y_D,v_U,Cd,Cl,inlet_U_fraction,rho_min,rho_max
57.1,-0.2641923728586264,0.0010602747513379423,2.4472217823238456,-1.725896261372582,1.0,1.0451666469236531,1.0581061673737633
57.150000000000006,-0.26375504204481837,0.016436129243933978,2.42718145939771,-1.7026459979727113,1.0,1.045297739778345,1.0581273660880062
57.2,-0.2625487483007596,0.03181266587665687,2.409385828848059,-1.6718812622147958,1.0,1.0454383093999826,1.058163068271071
57.25,-0.2605743752441768,0.047152694890503444,2.3945977975391854,-1.6346414140306764,1.0,1.0455748501960063,1.0582094913340248
57.300000000000004,-0.2578348253418163,0.062411365470538584,2.3842292469351443,-1.5942738007543353,1.0,1.0457219901612536,1.05826258433863
57.35,-0.25433547033094295,0.07753607796406259,2.3789640552386175,-1.5515762423179897,1.0,1.045881038451138,1.058318179679009
57.400000000000006,-0.2500842399438455,0.09247975833706235,2.377786073080935,-1.5026048143822615,1.0,1.0460539364144232,1.0584021913944541
57.45,-0.2450910500187597,0.10720992407922073,2.378968643866943,-1.4439041013301368,1.0,1.0462354400666758,1.0584741489703702
57.5,-0.23936726747022175,0.12169805506203506,2.381209476839116,-1.3775328400451787,1.0,1.0464139493974927,1.05852128089094
57.550000000000004,-0.23292592673245507,0.13590440181112076,2.3845189010912735,-1.3083239706521537,1.0,1.0465803420488136,1.0585426769946482
57.6,-0.22578235791484416,0.14977869721825554,2.3899474217644294,-1.2376448939332663,1.0,1.0466651055990603,1.0585394463671145
57.650000000000006,-0.21795433783728427,0.1632762817619001,2.3982987811290584,-1.1616172701138532,1.0,1.0467585944350688,1.0585129531855373
57.7,-0.2094615062076483,0.1763668540045049,2.409336283740825,-1.077455733758519,1.0,1.0468674080286833,1.058512917515739
57.75,-0.20032488921444488,0.1890221939331874,2.4215621082070347,-0.988038671875439,1.0,1.0469134899992711,1.0584962344332889
57.800000000000004,-0.19056719445755146,0.20120219548281748,2.4333881293110062,-0.8980714050754516,1.0,1.0469036139571994,1.058465490155759
57.85,-0.18021339011900314,0.21285866471072437,2.4451150740382714,-0.808323264553258,1.0,1.0468893183387802,1.0584244814050037
57.900000000000006,-0.16929075910508276,0.22394902420889115,2.460139792854889,-0.7164157278847219,1.0,1.0468949872280306,1.0583780990638099
57.95,-0.15782848871599833,0.23443869830866076,2.4825030588655284,-0.6218763460829516,1.0,1.0467344506954748,1.0583891051375163
58.0,-0.14585746819279707,0.24429293458672585,2.5122315009878857,-0.5264784215947833,1.0,1.0465029933640655,1.0584083526141255
58.050000000000004,-0.1334103910067579,0.25347502097755564,2.544299792731713,-0.43066498748884935,1.0,1.0462804886809307,1.058434783470933
58.1,-0.1205216940430654,0.26195310618110773,2.5732792119692873,-0.332853336433129,1.0,1.0460850224951581,1.0584579728283745
58.150000000000006,-0.10722722097789086,0.2697021164780379,2.601457494362524,-0.23277668304798696,1.0,1.0459002368809103,1.0584959569207677
58.2,-0.09356403612768595,0.2766971951120158,2.636822338808896,-0.13212865207748203,1.0,1.045693952181205,1.058544987012156
58.25,-0.07957049276096509,0.28291239235059457,2.678932479065321,-0.03117794910038047,1.0,1.045477078464732,1.05858368915212
58.300000000000004,-0.06528612673330537,0.28832743022861024,2.7167032894700234,0.07164399563858963,1.0,1.045283483302861,1.0586110930356698
58.35,-0.05075130738130702,0.29292823699392834,2.7430956351849503,0.1759262867574495,1.0,1.0451187705110558,1.0586077388174062
58.400000000000006,-0.03600713617029603,0.29669824869013034,2.7682217763674886,0.2789141399272966,1.0,1.0449294639521969,1.058609175499175
58.45,-0.021095645860079813,0.2996181664936601,2.8010242006840516,0.3804993289678936,1.0,1.0447106799426185,1.0585760571656797
58.5,-0.0060596641560623065,0.3016771395479996,2.8316433100499947,0.48339089902396987,1.0,1.0445073597743664,1.0585371535314363
58.550000000000004,0.009057692040382873,0.3028725867007929,2.8480263285781593,0.5866773032326142,1.0,1.044308055879415,1.058489178998051
58.6,0.02421304976758171,0.30319422656178,2.858820015806821,0.684839594347483,1.0,1.0441486980773171,1.058419339921452
58.650000000000006,0.03936220030134073,0.30262071393915974,2.87739400701572,0.7758890308374671,1.0,1.0439857297622055,1.0583479074624582
58.7,0.05445996594449031,0.30113799205910524,2.8956409626888635,0.8638241735318063,1.0,1.0438363477654795,1.058286594219868
58.75,0.06946088730888915,0.2987480147336457,2.901414952805988,0.9508558547651775,1.0,1.0437091706280899,1.058249286378595
58.800000000000004,0.08431971599448156,0.2954539805029897,2.9030154851414927,1.0332832484223755,1.0,1.043644962025382,1.0582114566720962
58.85,0.09899112585855502,0.2912500688872645,2.914342308941098,1.108577272212016,1.0,1.0435915529798303,1.0581632322016639
58.900000000000006,0.11342954024147733,0.2861354339436691,2.926578803110629,1.180279855859322,1.0,1.0434942403666032,1.0581468162452288
58.95,0.12758976846403206,0.2801266131782736,2.9252073089388135,1.2522025204939757,1.0,1.0434561087631082,1.0581730238058826
59.0,0.14142772932188102,0.2732487716620698,2.915139951200862,1.3232462027144185,1.0,1.0435130999020112,1.0581989731975885
59.050000000000004,0.15490051341426633,0.265522460282569,2.912671221808598,1.3903947258772997,1.0,1.043563671511391,1.0582116405852553
59.1,0.16796614451149125,0.25696624122435424,2.915452414389838,1.453978487901644,1.0,1.0435406242961562,1.058221824926972
59.150000000000006,0.18058376040646007,0.2476073387953676,2.90849507243711,1.516489211517912,1.0,1.0435231515341563,1.0582364537082833
59.2,0.19271410611743936,0.2374816514515784,2.8868865156309114,1.5782151556495407,1.0,1.043585857474306,1.0582432216030468
59.25,0.2043197345304883,0.22662384124563467,2.861971299176553,1.6363143979332273,1.0,1.0436721607019943,1.0582304653763899
59.300000000000004,0.21536476056851545,0.21506190750520232,2.8420036394305983,1.6884488276474316,1.0,1.043690949613708,1.058192348063169
59.35,0.22581465701598824,0.2028238592774665,2.8221736705907694,1.735401101246917,1.0,1.0436463064430173,1.0581378519417028
59.400000000000006,0.2356364616868372,0.18994453296251929,2.7973249051772004,1.7783152487661782,1.0,1.043640468185137,1.0580875178468965
59.45,0.244799049880953,0.17646112900034094,2.7687443243826326,1.8157016701140851,1.0,1.0436939105642122,1.0580516123293702
59.5,0.2532730593663791,0.1624065585443034,2.7377209043517894,1.8455295983068725,1.0,1.0437814707265909,1.058014068338288
59.550000000000004,0.26103072248918585,0.14781311418604537,2.7040077622993652,1.8684390614300481,1.0,1.043869051576087,1.0579625398390353
59.6,0.26804603853954373,0.13271971583988124,2.6718894753553175,1.8859244548822252,1.0,1.0439547642622489,1.0579208395303914
59.650000000000006,0.2742950587822159,0.1171679179664777,2.6471047059608264,1.896655216671896,1.0,1.0440463006205383,1.0579178041505464
59.7,0.27975583435739854,0.10119658528732024,2.626829402518587,1.9003449590917831,1.0,1.0441481955645568,1.0579413096792514
59.75,0.2844084886373881,0.08485211769099674,2.6029688109402107,1.9010285637158366,1.0,1.0442691499271255,1.0579646916103869
59.800000000000004,0.28823584309036565,0.06819548884497512,2.575443394055462,1.9015034441453131,1.0,1.0443980230416567,1.0579934410791576
59.85,0.29122386696995,0.05128802595592859,2.5504492669386574,1.8980829285923435,1.0,1.044512533456074,1.058045188170258
59.900000000000006,0.293361264028707,0.0341776946742135,2.529295041763795,1.8873048879139744,1.0,1.044654962556673,1.0581098202667198
59.95,0.2946390352816392,0.016911947025467715,2.507192827612466,1.8721634728881478,1.0,1.0448090062209465,1.0581602912642294
60.0,0.2950508743881001,-0.0004486862917820975,2.482815880895324,1.8559321181457988,1.0,1.0449593199497054,1.0581900880731117
60.050000000000004,0.2945936295941532,-0.01784200335956306,2.4592080341177436,1.8356679446286814,1.0,1.0451092183418724,1.0582087950202965
60.1,0.2932669479828476,-0.035218949524065804,2.4389952109716306,1.8074352543862513,1.0,1.0452483354800282,1.0582487501649371
60.150000000000006,0.2910727138078708,-0.05253670850929857,2.4223027352901623,1.7717236632666766,1.0,1.0453700945244517,1.0582757596889274
60.2,0.288015056968477,-0.0697472926658228,2.4083462049140656,1.7307444410871942,1.0,1.0454834934355042,1.0582843336612975
60.25,0.2841006263311955,-0.08679928700983534,2.396451995540946,1.6842730872514464,1.0,1.0455814202700247,1.058274644024968
60.300000000000004,0.27933855801069685,-0.10364534903741078,2.3862098807676917,1.6308377167223522,1.0,1.0456918782097282,1.0582545339937168
60.35,0.2737402218218155,-0.12024341120293547,2.379107473959049,1.569123220350996,1.0,1.0458149327267336,1.0582281137245837
60.400000000000006,0.2673189755494897,-0.13655541566170568,2.3777443392123434,1.49913928203687,1.0,1.0459540286079465,1.0582497812927336
60.45,0.26009012912210466,-0.15253966989825263,2.382529493021212,1.4239375249908857,1.0,1.0460914160977464,1.0582746049205345
60.5,0.25207130230385727,-0.16814585417446565,2.3910333936229278,1.345725312803748,1.0,1.0462581270241536,1.0583005969031043
60.550000000000004,0.2432826614629696,-0.18332497308916834,2.4016026834373525,1.26212038616131,1.0,1.0464508049723575,1.0583241335524822
60.6,0.2337465429501342,-0.19803927072130456,2.415687747766127,1.1710173207883725,1.0,1.0466083002194693,1.058345492372914
