dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70.2481
Nboundary,71
Nfluid,1420
Nparticles,1491
Apolar,0.238789
Bpolar,0.00165812

ID,r,theta,x,y,Type
254,0.00673603,3.66715,-0.00582696,-0.00337944,fluid
255,0.00673603,3.75659,-0.0055018,-0.00388642,fluid
256,0.00673603,3.84604,-0.00513266,-0.00436232,fluid
257,0.00673603,3.93548,-0.00472249,-0.00480335,fluid
258,0.00673603,4.02492,-0.00427456,-0.00520598,fluid
259,0.00673603,4.11437,-0.00379245,-0.00556699,fluid
260,0.00673603,4.20381,-0.00328003,-0.00588349,fluid
261,0.00673603,4.29325,-0.00274139,-0.00615296,fluid
262,0.00673603,4.38269,-0.00218082,-0.00637323,fluid
263,0.00673603,4.47214,-0.00160283,-0.00654255,fluid
264,0.00673603,4.56158,-0.00101202,-0.00665957,fluid
265,0.00673603,4.65102,-0.000413114,-0.00672335,fluid
266,0.00673603,4.74046,0.00018909,-0.00673337,fluid
267,0.00673603,4.82991,0.000789783,-0.00668957,fluid
268,0.00673603,4.91935,0.00138416,-0.00659228,fluid
269,0.00673603,5.00879,0.00196747,-0.00644229,fluid
270,0.00673603,5.09823,0.00253506,-0.0062408,fluid
271,0.00673603,5.18768,0.00308237,-0.00598941,fluid
272,0.00673603,5.27712,0.00360505,-0.00569014,fluid
273,0.00673603,5.36656,0.0040989,-0.00534538,fluid
274,0.00673603,5.45601,0.00455998,-0.00495788,fluid
275,0.00673603,5.54545,0.00498461,-0.00453075,fluid
276,0.00673603,5.63489,0.00536939,-0.0040674,fluid
277,0.00673603,5.72433,0.00571124,-0.00357153,fluid
278,0.00673603,5.81378,0.00600743,-0.0030471,fluid
279,0.00673603,5.90322,0.0062556,-0.00249832,fluid
280,0.00673603,5.99266,0.00645375,-0.00192956,fluid
281,0.00673603,6.0821,0.00660031,-0.00134537,fluid
282,0.00673603,6.17155,0.0066941,-0.000750434,fluid
283,0.00673603,6.26099,0.00673437,-0.000149494,fluid
284,0.00765147,0,0.00765147,0,fluid
285,0.00765147,0.0894427,0.00762088,0.000683456,fluid
286,0.00765147,0.178885,0.00752937,0.00136145,fluid
287,0.00765147,0.268328,0.00737766,0.00202856,fluid
288,0.00765147,0.357771,0.00716697,0.00267944,fluid
289,0.00765147,0.447214,0.00689899,0.00330891,fluid
290,0.00765147,0.536656,0.00657585,0.00391193,fluid
291,0.00765147,0.626099,0.00620013,0.00448367,fluid
292,0.00765147,0.715542,0.00577485,0.00501956,fluid
293,0.00765147,0.804984,0.0053034,0.00551533,fluid
294,0.00765147,0.894427,0.00478955,0.005967,fluid
