dr0,0.00141421
r0,0.005
R,0.1
R/r0,20
Nr,20
Ntheta,22.2144
Nboundary,23
Nfluid,460
Nparticles,483
Apolar,0.107899
Bpolar,0.0124125

ID,r,theta,x,y,Type
198,0.0220139,3.9598,-0.0150472,-0.0160684,fluid
199,0.0220139,4.24264,-0.00996485,-0.0196294,fluid
200,0.0220139,4.52548,-0.00409061,-0.0216305,fluid
201,0.0220139,4.80833,0.00210871,-0.0219127,fluid
202,0.0220139,5.09117,0.00814046,-0.0204535,fluid
203,0.0220139,5.37401,0.0135253,-0.0173689,fluid
204,0.0220139,5.65685,0.0178353,-0.012904,fluid
205,0.0220139,5.9397,0.020728,-0.0074137,fluid
206,0.0220139,6.22254,0.0219734,-0.00133423,fluid
207,0.0253666,0,0.0253666,0,fluid
208,0.0253666,0.282843,0.0243587,0.00707948,fluid
209,0.0253666,0.565685,0.021415,0.0135964,fluid
210,0.0253666,0.848528,0.0167696,0.0190328,fluid
211,0.0253666,1.13137,0.0107914,0.0229567,fluid
212,0.0253666,1.41421,0.00395576,0.0250563,fluid
213,0.0253666,1.69706,-0.00319428,0.0251647,fluid
214,0.0253666,1.9799,-0.0100905,0.0232733,fluid
215,0.0253666,2.26274,-0.0161848,0.0195324,fluid
216,0.0253666,2.54558,-0.020993,0.0142394,fluid
217,0.0253666,2.82843,-0.0241328,0.00781473,fluid
218,0.0253666,3.11127,-0.0253549,0.000769069,fluid
219,0.0253666,3.39411,-0.0245621,-0.00633771,fluid
220,0.0253666,3.67696,-0.0218174,-0.0129408,fluid
221,0.0253666,3.9598,-0.0173389,-0.0185156,fluid
222,0.0253666,4.24264,-0.0114825,-0.0226189,fluid
223,0.0253666,4.52548,-0.0047136,-0.0249248,fluid
224,0.0253666,4.80833,0.00242987,-0.0252499,fluid
225,0.0253666,5.09117,0.00938024,-0.0235685,fluid
226,0.0253666,5.37401,0.0155852,-0.0200142,fluid
227,0.0253666,5.65685,0.0205516,-0.0148693,fluid
228,0.0253666,5.9397,0.0238848,-0.0085428,fluid
229,0.0253666,6.22254,0.02532,-0.00153743,fluid
230,0.0291013,0,0.0291013,0,fluid
231,0.0291013,0.282843,0.027945,0.00812177,fluid
232,0.0291013,0.565685,0.0245679,0.0155981,fluid
233,0.0291013,0.848528,0.0192385,0.0218349,fluid
234,0.0291013,1.13137,0.0123803,0.0263365,fluid
235,0.0291013,1.41421,0.00453816,0.0287453,fluid
236,0.0291013,1.69706,-0.00366457,0.0288696,fluid
237,0.0291013,1.9799,-0.0115761,0.0266998,fluid
238,0.0291013,2.26274,-0.0185677,0.0224082,fluid
239,0.0291013,2.54558,-0.0240837,0.0163358,fluid
240,0.0291013,2.82843,-0.0276859,0.00896528,fluid
241,0.0291013,3.11127,-0.0290879,0.000882297,fluid
242,0.0291013,3.39411,-0.0281784,-0.0072708,fluid
243,0.0291013,3.67696,-0.0250295,-0.0148461,fluid
244,0.0291013,3.9598,-0.0198917,-0.0212416,fluid
245,0.0291013,4.24264,-0.013173,-0.0259491,fluid
246,0.0291013,4.52548,-0.00540758,-0.0285944,fluid
247,0.0291013,4.80833,0.00278761,-0.0289675,fluid
248,0.0291013,5.09117,0.0107613,-0.0270385,fluid
249,0.0291013,5.37401,0.0178798,-0.0229608,fluid
250,0.0291013,5.65685,0.0235774,-0.0170585,fluid
251,0.0291013,5.9397,0.0274013,-0.00980055,fluid
252,0.0291013,6.22254,0.0290478,-0.00176378,fluid
253,0.0332615,0,0.0332615,0,fluid
254,0.0332615,0.282843,0.0319399,0.00928283,fluid
255,0.0332615,0.565685,0.02808,0.017828,fluid
256,0.0332615,0.848528,0.0219888,0.0249564,fluid
257,0.0332615,1.13137,0.0141501,0.0301015,fluid
258,0.0332615,1.41421,0.00518692,0.0328545,fluid
259,0.0332615,1.69706,-0.00418844,0.0329967,fluid
260,0.0332615,1.9799,-0.013231,0.0305167,fluid
261,0.0332615,2.26274,-0.021222,0.0256115,fluid
262,0.0332615,2.54558,-0.0275266,0.0186711,fluid
263,0.0332615,2.82843,-0.0316437,0.0102469,fluid
264,0.0332615,3.11127,-0.0332462,0.00100843,fluid
265,0.0332615,3.39411,-0.0322066,-0.0083102,fluid
266,0.0332615,3.67696,-0.0286076,-0.0169684,fluid
267,0.0332615,3.9598,-0.0227353,-0.0242782,fluid
268,0.0332615,4.24264,-0.0150562,-0.0296587,fluid
269,0.0332615,4.52548,-0.00618062,-0.0326822,fluid
270,0.0332615,4.80833,0.00318612,-0.0331085,fluid
271,0.0332615,5.09117,0.0122997,-0.0309038,fluid
272,0.0332615,5.37401,0.0204358,-0.0262432,fluid
273,0.0332615,5.65685,0.0269479,-0.0194971,fluid
274,0.0332615,5.9397,0.0313185,-0.0112016,fluid
275,0.0332615,6.22254,0.0332003,-0.00201593,fluid
276,0.0378957,0,0.0378957,0,fluid
277,0.0378957,0.282843,0.0363899,0.0105762,fluid
278,0.0378957,0.565685,0.0319923,0.0203119,fluid
279,0.0378957,0.848528,0.0250524,0.0284334,fluid
280,0.0378957,1.13137,0.0161216,0.0342954,fluid
281,0.0378957,1.41421,0.00590959,0.037432,fluid
282,0.0378957,1.69706,-0.004772,0.037594,fluid
283,0.0378957,1.9799,-0.0150744,0.0347684,fluid
284,0.0378957,2.26274,-0.0241788,0.0291799,fluid
285,0.0378957,2.54558,-0.0313618,0.0212725,fluid
286,0.0378957,2.82843,-0.0360525,0.0116746,fluid
287,0.0378957,3.11127,-0.0378782,0.00114893,fluid
288,0.0378957,3.39411,-0.0366938,-0.00946803,fluid
289,0.0378957,3.67696,-0.0325934,-0.0193326,fluid
290,0.0378957,3.9598,-0.0259029,-0.0276608,fluid
291,0.0378957,4.24264,-0.0171539,-0.0337909,fluid
292,0.0378957,4.52548,-0.00704174,-0.0372357,fluid
293,0.0378957,4.80833,0.00363003,-0.0377214,fluid
294,0.0378957,5.09117,0.0140133,-0.0352095,fluid
295,0.0378957,5.37401,0.023283,-0.0298995,fluid
296,0.0378957,5.65685,0.0307024,-0.0222135,fluid
297,0.0378957,5.9397,0.035682,-0.0127623,fluid
298,0.0378957,6.22254,0.037826,-0.0022968,fluid
