h/dp :,2
L2normdrhodt,dp,Nparticles
53.8238,0.1,12201

t,0.01
IDx,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
164,0.45,-0.15,,1000.73,129.607,445.158,,0,0,,0,0,boundary
165,0.55,-0.15,,1000.73,129.761,445.381,,0,0,,0,0,boundary
166,0.65,-0.15,,1000.73,129.809,445.447,,0,0,,0,0,boundary
167,0.75,-0.15,,1000.73,129.82,445.461,,0,0,,0,0,boundary
168,0.85,-0.15,,1000.73,129.824,445.464,,0,0,,0,0,boundary
169,0.95,-0.15,,1000.73,129.826,445.465,,0,0,,0,0,boundary
170,1.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
171,1.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
172,1.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
173,1.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
174,1.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
175,1.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
176,1.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
177,1.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
178,1.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
179,1.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
180,2.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
181,2.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
182,2.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
183,2.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
184,2.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
185,2.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
186,2.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
187,2.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
188,2.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
189,2.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
190,3.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
191,3.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
192,3.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
193,3.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
194,3.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
195,3.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
196,3.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
197,3.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
198,3.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
199,3.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
200,4.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
201,4.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
202,4.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
203,4.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
204,4.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
205,4.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
206,4.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
207,4.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
208,4.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
209,4.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
210,5.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
211,5.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
212,5.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
213,5.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
214,5.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
215,5.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
216,5.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
217,5.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
218,5.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
219,5.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
220,6.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
221,6.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
222,6.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
223,6.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
224,6.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
225,6.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
226,6.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
227,6.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
228,6.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
229,6.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
230,7.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
231,7.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
232,7.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
233,7.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
234,7.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
235,7.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
236,7.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
237,7.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
238,7.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
239,7.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
240,8.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
241,8.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
242,8.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
243,8.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
244,8.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
245,8.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
246,8.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
247,8.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
248,8.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
249,8.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
250,9.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
251,9.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
252,9.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
253,9.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
254,9.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
255,9.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
256,9.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
257,9.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
258,9.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
259,9.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
260,10.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
261,10.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
262,10.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
263,10.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
264,10.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
265,10.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
266,10.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
267,10.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
268,10.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
269,10.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
270,11.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
271,11.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
272,11.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
273,11.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
274,11.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
275,11.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
276,11.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
277,11.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
278,11.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
279,11.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
280,12.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
281,12.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
282,12.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
283,12.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
284,12.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
285,12.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
286,12.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
287,12.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
288,12.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
289,12.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
290,13.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
291,13.15,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
292,13.25,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
293,13.35,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
294,13.45,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
295,13.55,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
296,13.65,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
297,13.75,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
298,13.85,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
299,13.95,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
300,14.05,-0.15,,1000.73,129.826,445.466,,0,0,,0,0,boundary
301,14.15,-0.15,,1000.73,129.825,445.465,,0,0,,0,0,boundary
302,14.25,-0.15,,1000.73,129.824,445.464,,0,0,,0,0,boundary
303,14.35,-0.15,,1000.73,129.817,445.456,,0,0,,0,0,boundary
304,14.45,-0.15,,1000.73,129.781,445.412,,0,0,,0,0,boundary
305,14.55,-0.15,,1000.73,129.662,445.255,,0,0,,0,0,boundary
306,14.65,-0.15,,1000.73,129.447,444.972,,0,0,,0,0,boundary
307,14.75,-0.15,,1000.73,129.138,443.926,,0,0,,0,0,boundary
308,14.85,-0.15,,1000.69,121.587,415.865,,0,0,,0,0,boundary
309,14.95,-0.15,,1000.51,91.0248,307.655,,0,0,,0,0,boundary
310,15.05,-0.15,,1000.24,43.119,143.322,,0,0,,0,0,boundary
311,15.15,-0.15,,1000.05,9.6633,31.4681,,0,0,,0,0,boundary
312,15.25,-0.15,,1000,0.351795,1.117,,0,0,,0,0,boundary
313,15.35,-0.15,,1000,0,0,,0,0,,0,0,boundary
314,-0.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
315,-0.15,-0.25,,1000,0.508304,1.65082,,0,0,,0,0,boundary
316,-0.05,-0.25,,1000.03,5.19809,17.2142,,0,0,,0,0,boundary
317,0.05,-0.25,,1000.07,12.9295,43.3646,,0,0,,0,0,boundary
318,0.15,-0.25,,1000.1,17.2878,58.4918,,0,0,,0,0,boundary
319,0.25,-0.25,,1000.1,17.6574,59.9547,,0,0,,0,0,boundary
