h/dr :,1.8
h/dz :,1.8
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.104177,0.0907378,0.0849207,14.7339,13.4588,12.9303

r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
0.2,0.4,,0.977979,0.998492,1.00121,,0.420793,0.00438992,,0.130591,-1.09635e-15,,0.0654658,-9.15934e-16,,-86.7156,-95.4592,-97.5708
0.2,0.5,,0.978116,0.998492,1.00121,,0.420852,0.000173324,,0.130591,-1.44329e-15,,0.0654658,-2.29764e-15,,-86.7277,-95.4592,-97.5708
0.2,0.6,,0.978121,0.998492,1.00121,,0.420854,3.62192e-06,,0.130591,1.97065e-15,,0.0654658,2.6654e-15,,-86.7281,-95.4592,-97.5708
0.2,0.7,,0.978121,0.998492,1.00121,,0.420854,4.01824e-08,,0.130591,2.67841e-15,,0.0654658,2.67147e-15,,-86.7282,-95.4592,-97.5708
0.2,0.8,,0.978121,0.998492,1.00121,,0.420854,2.37291e-10,,0.130591,1.249e-16,,0.0654658,-4.85723e-17,,-86.7282,-95.4592,-97.5708
0.2,0.9,,0.978121,0.998492,1.00121,,0.420854,7.45341e-13,,0.130591,-3.1225e-15,,0.0654658,-2.88658e-15,,-86.7282,-95.4592,-97.5708
0.2,1,,0.978121,0.998492,1.00121,,0.420854,-3.6518e-16,,0.130591,-3.40006e-15,,0.0654658,-4.25441e-15,,-86.7282,-95.4592,-97.5708
0.2,1.1,,0.978121,0.998492,1.00121,,0.420854,1.1149e-15,,0.130591,1.92901e-15,,0.0654658,2.0331e-15,,-86.7282,-95.4592,-97.5708
0.2,1.2,,0.978121,0.998492,1.00121,,0.420854,2.06257e-15,,0.130591,3.52843e-15,,0.0654658,5.07493e-15,,-86.7282,-95.4592,-97.5708
0.2,1.3,,0.978121,0.998492,1.00121,,0.420854,1.129e-15,,0.130591,1.52309e-15,,0.0654658,-1.48319e-16,,-86.7282,-95.4592,-97.5708
0.2,1.4,,0.978121,0.998492,1.00121,,0.420854,-9.13121e-16,,0.130591,-1.41206e-15,,0.0654658,-5.9848e-17,,-86.7282,-95.4592,-97.5708
0.2,1.5,,0.978121,0.998492,1.00121,,0.420854,-1.51703e-15,,0.130591,-2.93168e-15,,0.0654658,-4.61003e-15,,-86.7282,-95.4592,-97.5708
0.2,1.6,,0.978121,0.998492,1.00121,,0.420854,3.25356e-17,,0.130591,9.71445e-17,,0.0654658,-1.59595e-16,,-86.7282,-95.4592,-97.5708
0.2,1.7,,0.978121,0.998492,1.00121,,0.420854,1.61935e-15,,0.130591,3.19536e-15,,0.0654658,4.51982e-15,,-86.7282,-95.4592,-97.5708
0.2,1.8,,0.978121,0.998492,1.00121,,0.420854,1.12021e-15,,0.130591,1.52309e-15,,0.0654658,-1.48319e-16,,-86.7282,-95.4592,-97.5708
0.2,1.9,,0.978121,0.998492,1.00121,,0.420854,-1.35142e-15,,0.130591,-1.41206e-15,,0.0654658,-5.9848e-17,,-86.7282,-95.4592,-97.5708
0.2,2,,0.978121,0.998492,1.00121,,0.420854,-2.98124e-15,,0.130591,-4.29171e-15,,0.0654658,-5.49821e-15,,-86.7282,-95.4592,-97.5708
0.2,2.1,,0.978121,0.998492,1.00121,,0.420854,-2.80037e-15,,0.130591,-4.80171e-15,,0.0654658,-4.84335e-15,,-86.7282,-95.4592,-97.5708
0.2,2.2,,0.978121,0.998492,1.00121,,0.420854,1.35311e-15,,0.130591,1.02696e-15,,0.0654658,8.46545e-16,,-86.7282,-95.4592,-97.5708
0.2,2.3,,0.978121,0.998492,1.00121,,0.420854,5.81284e-15,,0.130591,8.97893e-15,,0.0654658,9.24261e-15,,-86.7282,-95.4592,-97.5708
0.2,2.4,,0.978121,0.998492,1.00121,,0.420854,3.8246e-15,,0.130591,6.79838e-15,,0.0654658,9.26082e-15,,-86.7282,-95.4592,-97.5708
0.2,2.5,,0.978121,0.998492,1.00121,,0.420854,-3.73615e-15,,0.130591,-6.7845e-15,,0.0654658,-9.35797e-15,,-86.7282,-95.4592,-97.5708
0.2,2.6,,0.978121,0.998492,1.00121,,0.420854,-5.629e-15,,0.130591,-9.07607e-15,,0.0654658,-9.11771e-15,,-86.7282,-95.4592,-97.5708
0.2,2.7,,0.978121,0.998492,1.00121,,0.420854,-8.0105e-17,,0.130591,2.77556e-17,,0.0654658,-4.16334e-17,,-86.7282,-95.4592,-97.5708
0.2,2.8,,0.978121,0.998492,1.00121,,0.420854,5.64533e-15,,0.130591,8.97893e-15,,0.0654658,9.24261e-15,,-86.7282,-95.4592,-97.5708
0.2,2.9,,0.978121,0.998492,1.00121,,0.420854,3.81766e-15,,0.130591,6.79838e-15,,0.0654658,9.26082e-15,,-86.7282,-95.4592,-97.5708
0.2,3,,0.978121,0.998492,1.00121,,0.420854,-3.73615e-15,,0.130591,-6.7845e-15,,0.0654658,-9.35797e-15,,-86.7282,-95.4592,-97.5708
0.2,3.1,,0.978121,0.998492,1.00121,,0.420854,-5.629e-15,,0.130591,-9.07607e-15,,0.0654658,-9.11771e-15,,-86.7282,-95.4592,-97.5708
