h/dp :,2
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
80,3.05,0.15,,0.860743,0.912514,0.928513,,9.48421e-17,1.6018,,3.31332e-16,1.52087,,3.56052e-16,1.4015,,-186.074,-191.138,-192.681
81,3.15,0.15,,0.860743,0.912514,0.928513,,6.45947e-17,1.6018,,2.46331e-16,1.52087,,3.59088e-16,1.4015,,-186.074,-191.138,-192.681
82,3.25,0.15,,0.860743,0.912514,0.928513,,1.77704e-17,1.6018,,-4.35416e-16,1.52087,,-4.98733e-17,1.4015,,-186.074,-191.138,-192.681
83,3.35,0.15,,0.860743,0.912514,0.928513,,-1.75268e-16,1.6018,,-3.08781e-16,1.52087,,-1.58294e-16,1.4015,,-186.074,-191.138,-192.681
84,3.45,0.15,,0.860743,0.912514,0.928513,,-1.41312e-16,1.6018,,-2.74086e-16,1.52087,,-4.25007e-16,1.4015,,-186.074,-191.138,-192.681
85,3.55,0.15,,0.860743,0.912514,0.928513,,1.52578e-17,1.6018,,1.73472e-16,1.52087,,-1.85182e-16,1.4015,,-186.074,-191.138,-192.681
86,3.65,0.15,,0.860743,0.912514,0.928513,,2.98639e-16,1.6018,,2.96638e-16,1.52087,,3.18322e-16,1.4015,,-186.074,-191.138,-192.681
87,3.75,0.15,,0.860743,0.912514,0.928513,,9.66706e-16,1.6018,,4.04191e-16,1.52087,,3.56052e-16,1.4015,,-186.074,-191.138,-192.681
88,3.85,0.15,,0.860743,0.912514,0.928513,,3.18893e-16,1.6018,,2.68882e-15,1.52087,,2.52012e-15,1.4015,,-186.074,-191.138,-192.681
89,3.95,0.15,,0.860743,0.912514,0.928513,,-9.68532e-13,1.6018,,9.71445e-15,1.52087,,9.06176e-15,1.4015,,-186.074,-191.138,-192.681
90,4.05,0.15,,0.860743,0.912514,0.928513,,-1.69573e-10,1.6018,,1.46307e-14,1.52087,,1.5711e-14,1.4015,,-186.074,-191.138,-192.681
91,4.15,0.15,,0.860743,0.912514,0.928513,,-1.77091e-08,1.6018,,9.89486e-15,1.52087,,1.00519e-14,1.4015,,-186.074,-191.138,-192.681
92,4.25,0.15,,0.860743,0.912514,0.928513,,-1.1107e-06,1.6018,,2.79811e-15,1.52087,,2.84234e-15,1.4015,,-186.074,-191.138,-192.681
93,4.35,0.15,,0.860742,0.912514,0.928513,,-4.17765e-05,1.6018,,5.20417e-18,1.52087,,-2.34621e-16,1.4015,,-186.071,-191.138,-192.681
94,4.45,0.15,,0.860712,0.912514,0.928513,,-0.000940735,1.60174,,-3.00107e-16,1.52087,,-7.89299e-17,1.4015,,-186.017,-191.138,-192.681
95,4.55,0.15,,0.860243,0.912514,0.928513,,-0.0126591,1.60087,,-3.50414e-16,1.52087,,-1.99493e-17,1.4015,,-185.432,-191.138,-192.681
96,4.65,0.15,,0.855796,0.912514,0.928513,,-0.101604,1.59259,,-9.36751e-17,1.52087,,-9.1073e-18,1.4015,,-181.874,-191.138,-192.681
97,4.75,0.15,,0.830204,0.904566,0.924047,,-0.485486,1.54497,,-0.262285,1.51167,,-0.182548,1.39816,,-170.357,-183.269,-187.205
98,4.85,0.15,,0.740879,0.831219,0.859866,,-1.37874,1.37874,,-1.39443,1.39443,,-1.30568,1.30568,,-152.492,-160.626,-164.742
99,4.95,0.15,,0.551777,0.610794,0.636156,,-2.32425,1.02683,,-2.90016,1.02688,,-3.14585,0.959144,,-143.037,-145.569,-146.341
100,0.05,0.25,,0.618303,0.664643,0.683295,,2.60447,0.36157,,3.1657,0.19133,,3.38761,0.134577,,-148.226,-149.535,-149.733
101,0.15,0.25,,0.830204,0.904566,0.924047,,1.54497,0.485486,,1.51167,0.262285,,1.39816,0.182548,,-158.821,-166.075,-169.628
102,0.25,0.25,,0.930299,0.983626,0.992151,,0.544019,0.544019,,0.276082,0.276082,,0.187556,0.187556,,-178.84,-190.787,-193.84
103,0.35,0.25,,0.958976,0.991792,0.996678,,0.113854,0.560789,,3.50414e-16,0.276082,,-1.52222e-16,0.187556,,-191.745,-199.069,-199.467
104,0.45,0.25,,0.96396,0.991792,0.996678,,0.0141854,0.563703,,-3.76435e-16,0.276082,,-3.54317e-16,0.187556,,-195.732,-199.069,-199.467
105,0.55,0.25,,0.964485,0.991792,0.996678,,0.00105416,0.56401,,-5.20417e-16,0.276082,,-2.59775e-16,0.187556,,-196.388,-199.069,-199.467
106,0.65,0.25,,0.964519,0.991792,0.996678,,4.68133e-05,0.56403,,1.40513e-16,0.276082,,-6.54858e-17,0.187556,,-196.449,-199.069,-199.467
107,0.75,0.25,,0.96452,0.991792,0.996678,,1.24461e-06,0.564031,,3.48679e-16,0.276082,,7.59809e-16,0.187556,,-196.452,-199.069,-199.467
108,0.85,0.25,,0.96452,0.991792,0.996678,,1.98442e-08,0.564031,,-8.76035e-16,0.276082,,-8.33101e-16,0.187556,,-196.452,-199.069,-199.467
109,0.95,0.25,,0.96452,0.991792,0.996678,,1.90027e-10,0.564031,,-3.20403e-15,0.276082,,-3.83547e-15,0.187556,,-196.452,-199.069,-199.467
110,1.05,0.25,,0.96452,0.991792,0.996678,,1.09113e-12,0.564031,,-3.86149e-15,0.276082,,-4.19977e-15,0.187556,,-196.452,-199.069,-199.467
111,1.15,0.25,,0.96452,0.991792,0.996678,,1.65094e-15,0.564031,,-2.69923e-15,0.276082,,-2.1632e-15,0.187556,,-196.452,-199.069,-199.467
112,1.25,0.25,,0.96452,0.991792,0.996678,,-8.60548e-16,0.564031,,-4.38885e-16,0.276082,,-2.96638e-16,0.187556,,-196.452,-199.069,-199.467
113,1.35,0.25,,0.96452,0.991792,0.996678,,8.72143e-17,0.564031,,2.30718e-16,0.276082,,2.34621e-16,0.187556,,-196.452,-199.069,-199.467
114,1.45,0.25,,0.96452,0.991792,0.996678,,5.92312e-17,0.564031,,4.51028e-17,0.276082,,3.48246e-16,0.187556,,-196.452,-199.069,-199.467
115,1.55,0.25,,0.96452,0.991792,0.996678,,-8.92167e-17,0.564031,,-3.81639e-17,0.276082,,-2.71918e-16,0.187556,,-196.452,-199.069,-199.467
116,1.65,0.25,,0.96452,0.991792,0.996678,,2.75593e-17,0.564031,,-1.73472e-16,0.276082,,-4.00287e-16,0.187556,,-196.452,-199.069,-199.467
117,1.75,0.25,,0.96452,0.991792,0.996678,,-1.10491e-16,0.564031,,-2.25514e-16,0.276082,,2.30718e-16,0.187556,,-196.452,-199.069,-199.467
118,1.85,0.25,,0.96452,0.991792,0.996678,,3.99052e-17,0.564031,,8.84709e-17,0.276082,,1.2013e-16,0.187556,,-196.452,-199.069,-199.467
119,1.95,0.25,,0.96452,0.991792,0.996678,,1.85876e-17,0.564031,,7.28584e-17,0.276082,,1.74773e-16,0.187556,,-196.452,-199.069,-199.467
