dx/h :,0.833333
dy/h :,0.833333
L2normPGauss,L2normPCubic,L2normPWedn
0.0764272,0.0617069,0.0536339

x,y,,PGauss,PCubic,PWedn,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0.1,0,,0.71292,0.78147,0.821797,,0.624987,3.98705,,0.252238,4.65231,,0.132929,4.67348,,-60.7218,-73.5514,-74.6827
0.1,0.1,,0.940617,0.993104,1.01521,,0.8246,0.8246,,0.285183,0.285183,,0.14149,0.14149,,-80.1154,-93.0462,-93.4696
0.1,0.2,,0.968968,0.996431,1.01658,,0.849454,0.0370569,,0.285183,1.23512e-15,,0.14149,6.50521e-16,,-82.5302,-93.3757,-93.5552
0.1,0.3,,0.969848,0.996431,1.01658,,0.850226,0.000379517,,0.285183,2.60555e-15,,0.14149,2.96551e-15,,-82.6052,-93.3757,-93.5552
0.1,0.4,,0.969855,0.996431,1.01658,,0.850232,9.14121e-07,,0.285183,-8.67362e-16,,0.14149,-6.53991e-16,,-82.6058,-93.3757,-93.5552
0.1,0.5,,0.969855,0.996431,1.01658,,0.850232,5.27795e-10,,0.285183,-3.95517e-15,,0.14149,-6.24154e-15,,-82.6058,-93.3757,-93.5552
0.1,0.6,,0.969855,0.996431,1.01658,,0.850232,7.66753e-14,,0.285183,4.20497e-15,,0.14149,5.98133e-15,,-82.6058,-93.3757,-93.5552
0.1,0.7,,0.969855,0.996431,1.01658,,0.850232,2.34058e-15,,0.285183,1.7833e-15,,0.14149,1.39298e-15,,-82.6058,-93.3757,-93.5552
0.1,0.8,,0.969855,0.996431,1.01658,,0.850232,4.68806e-18,,0.285183,6.93889e-18,,0.14149,-5.0307e-17,,-82.6058,-93.3757,-93.5552
0.1,0.9,,0.969855,0.996431,1.01658,,0.850232,-2.62128e-15,,0.285183,-1.97758e-15,,0.14149,-1.2091e-15,,-82.6058,-93.3757,-93.5552
0.1,1,,0.969855,0.996431,1.01658,,0.850232,-4.9228e-15,,0.285183,-6.26582e-15,,0.14149,-7.51309e-15,,-82.6058,-93.3757,-93.5552
0.1,1.1,,0.969855,0.996431,1.01658,,0.850232,2.14278e-15,,0.285183,1.7833e-15,,0.14149,1.39298e-15,,-82.6058,-93.3757,-93.5552
0.1,1.2,,0.969855,0.996431,1.01658,,0.850232,7.05102e-15,,0.285183,9.84976e-15,,0.14149,1.25689e-14,,-82.6058,-93.3757,-93.5552
0.1,1.3,,0.969855,0.996431,1.01658,,0.850232,-2.46696e-15,,0.285183,-5.39499e-15,,0.14149,-9.67195e-15,,-82.6058,-93.3757,-93.5552
0.1,1.4,,0.969855,0.996431,1.01658,,0.850232,2.47634e-15,,0.285183,5.40887e-15,,0.14149,1.00154e-14,,-82.6058,-93.3757,-93.5552
0.1,1.5,,0.969855,0.996431,1.01658,,0.850232,-6.86235e-15,,0.285183,-9.69017e-15,,0.14149,-1.25464e-14,,-82.6058,-93.3757,-93.5552
0.1,1.6,,0.969855,0.996431,1.01658,,0.850232,4.69146e-18,,0.285183,6.93889e-18,,0.14149,-5.0307e-17,,-82.6058,-93.3757,-93.5552
0.1,1.7,,0.969855,0.996431,1.01658,,0.850232,6.81509e-15,,0.285183,9.84976e-15,,0.14149,1.25689e-14,,-82.6058,-93.3757,-93.5552
0.1,1.8,,0.969855,0.996431,1.01658,,0.850232,-2.46696e-15,,0.285183,-5.39499e-15,,0.14149,-9.67195e-15,,-82.6058,-93.3757,-93.5552
0.1,1.9,,0.969855,0.996431,1.01658,,0.850232,2.47634e-15,,0.285183,5.40887e-15,,0.14149,1.00154e-14,,-82.6058,-93.3757,-93.5552
0.1,2,,0.969855,0.996431,1.01658,,0.850232,-7.27643e-15,,0.285183,-9.69017e-15,,0.14149,-1.25464e-14,,-82.6058,-93.3757,-93.5552
0.1,2.1,,0.969855,0.996431,1.01658,,0.850232,-4.47126e-15,,0.285183,-4.28824e-15,,0.14149,-2.92474e-15,,-82.6058,-93.3757,-93.5552
0.1,2.2,,0.969855,0.996431,1.01658,,0.850232,2.81117e-16,,0.285183,1.52656e-16,,0.14149,7.28584e-17,,-82.6058,-93.3757,-93.5552
