dx/h :,0.5
dy/h :,0.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

x,y,,PGauss,PCubic,PWedn,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0.2,0.8,,0.96452,0.991792,0.996678,,0.564031,1.98442e-08,,0.276082,-1.41043e-16,,0.187556,4.52881e-17,,-81.7402,-91.6276,-94.2933
0.2,0.9,,0.96452,0.991792,0.996678,,0.564031,1.90028e-10,,0.276082,-2.70427e-15,,0.187556,-2.36598e-15,,-81.7402,-91.6276,-94.2933
0.2,1,,0.96452,0.991792,0.996678,,0.564031,1.09268e-12,,0.276082,-2.55786e-15,,0.187556,-3.07713e-15,,-81.7402,-91.6276,-94.2933
0.2,1.1,,0.96452,0.991792,0.996678,,0.564031,4.57535e-15,,0.276082,1.18776e-15,,0.187556,1.0536e-15,,-81.7402,-91.6276,-94.2933
0.2,1.2,,0.96452,0.991792,0.996678,,0.564031,1.70939e-15,,0.276082,2.9086e-15,,0.187556,3.72724e-15,,-81.7402,-91.6276,-94.2933
0.2,1.3,,0.96452,0.991792,0.996678,,0.564031,1.13294e-15,,0.276082,1.90246e-15,,0.187556,7.62163e-16,,-81.7402,-91.6276,-94.2933
0.2,1.4,,0.96452,0.991792,0.996678,,0.564031,-1.03329e-15,,0.276082,-1.8723e-15,,0.187556,-8.6284e-16,,-81.7402,-91.6276,-94.2933
0.2,1.5,,0.96452,0.991792,0.996678,,0.564031,-1.44041e-15,,0.276082,-2.23173e-15,,0.187556,-3.50387e-15,,-81.7402,-91.6276,-94.2933
0.2,1.6,,0.96452,0.991792,0.996678,,0.564031,3.83216e-18,,0.276082,-1.23696e-16,,0.187556,-2.19324e-17,,-81.7402,-91.6276,-94.2933
0.2,1.7,,0.96452,0.991792,0.996678,,0.564031,1.3208e-15,,0.276082,2.18696e-15,,0.187556,3.33866e-15,,-81.7402,-91.6276,-94.2933
0.2,1.8,,0.96452,0.991792,0.996678,,0.564031,9.48393e-16,,0.276082,1.90246e-15,,0.187556,7.62163e-16,,-81.7402,-91.6276,-94.2933
0.2,1.9,,0.96452,0.991792,0.996678,,0.564031,-1.39137e-15,,0.276082,-1.8723e-15,,0.187556,-8.6284e-16,,-81.7402,-91.6276,-94.2933
0.2,2,,0.96452,0.991792,0.996678,,0.564031,-2.92406e-15,,0.276082,-3.71665e-15,,0.187556,-4.83267e-15,,-81.7402,-91.6276,-94.2933
0.2,2.1,,0.96452,0.991792,0.996678,,0.564031,-2.45462e-15,,0.276082,-4.07748e-15,,0.187556,-4.12143e-15,,-81.7402,-91.6276,-94.2933
0.2,2.2,,0.96452,0.991792,0.996678,,0.564031,1.47666e-15,,0.276082,1.68874e-15,,0.187556,1.41234e-15,,-81.7402,-91.6276,-94.2933
0.2,2.3,,0.96452,0.991792,0.996678,,0.564031,4.96769e-15,,0.276082,8.23073e-15,,0.187556,8.25062e-15,,-81.7402,-91.6276,-94.2933
0.2,2.4,,0.96452,0.991792,0.996678,,0.564031,2.7499e-15,,0.276082,5.22446e-15,,0.187556,7.2293e-15,,-81.7402,-91.6276,-94.2933
0.2,2.5,,0.96452,0.991792,0.996678,,0.564031,-2.9014e-15,,0.276082,-5.38893e-15,,0.187556,-7.22659e-15,,-81.7402,-91.6276,-94.2933
0.2,2.6,,0.96452,0.991792,0.996678,,0.564031,-4.53957e-15,,0.276082,-8.27551e-15,,0.187556,-8.2466e-15,,-81.7402,-91.6276,-94.2933
0.2,2.7,,0.96452,0.991792,0.996678,,0.564031,7.77578e-17,,0.276082,2.3409e-17,,0.187556,-1.97486e-16,,-81.7402,-91.6276,-94.2933
0.2,2.8,,0.96452,0.991792,0.996678,,0.564031,4.54939e-15,,0.276082,8.23073e-15,,0.187556,8.25062e-15,,-81.7402,-91.6276,-94.2933
0.2,2.9,,0.96452,0.991792,0.996678,,0.564031,2.7499e-15,,0.276082,5.22446e-15,,0.187556,7.2293e-15,,-81.7402,-91.6276,-94.2933
