h/dp :,1.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0918565,0.0777916,0.071464,13.3866,12.0235,11.8048

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
107,0.75,0.25,,0.992798,1.00344,1.00514,,1.17794e-11,0.194871,,8.50015e-17,1.81972e-15,,1.34007e-16,1.04994e-15,,-199.28,-200.672,-199.74
108,0.85,0.25,,0.992798,1.00344,1.00514,,6.25437e-15,0.194871,,8.50015e-17,1.81972e-15,,1.34007e-16,1.04994e-15,,-199.28,-200.672,-199.74
109,0.95,0.25,,0.992798,1.00344,1.00514,,-3.39186e-15,0.194871,,-3.09995e-15,2.15453e-15,,-2.81502e-15,1.45847e-15,,-199.28,-200.672,-199.74
110,1.05,0.25,,0.992798,1.00344,1.00514,,-3.85764e-15,0.194871,,-4.74794e-15,1.32186e-15,,-7.08851e-15,1.43071e-15,,-199.28,-200.672,-199.74
111,1.15,0.25,,0.992798,1.00344,1.00514,,-2.19575e-15,0.194871,,-1.44502e-15,1.09981e-15,,-1.80108e-15,5.42535e-16,,-199.28,-200.672,-199.74
112,1.25,0.25,,0.992798,1.00344,1.00514,,-3.97491e-16,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
113,1.35,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
114,1.45,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
115,1.55,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
116,1.65,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
117,1.75,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
118,1.85,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
119,1.95,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
120,2.05,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
121,2.15,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
122,2.25,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
123,2.35,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
124,2.45,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
125,2.55,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
126,2.65,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
127,2.75,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
128,2.85,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
