h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
0,438.063,0.00447214,2100

t,1.09006
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
154,0.0183715,0.0565416,,999.99,0.000621735,-20.2492,,0.432452,0.0523586,0.43561,,-0.0130675,0.00197061,-12.7099,fluid
155,0.0132292,0.0579608,,999.993,0.000521141,-13.5526,,0.462946,0.059357,0.466736,,-0.0121327,0.00187806,-11.845,fluid
156,0.00798035,0.0589133,,999.997,-0.000109434,-5.30261,,0.486689,0.0668941,0.491265,,-0.0110523,0.00196408,-10.6482,fluid
157,0.00266728,0.0593915,,1000,-0.000484129,7.16477,,0.502626,0.0749623,0.508186,,-0.00997712,0.00186926,-9.36259,fluid
158,-0.00266728,0.0593915,,1000.01,-0.000507529,21.9625,,0.512306,0.0833579,0.519043,,-0.00909556,0.00194316,-8.07864,fluid
159,-0.00798035,0.0589133,,1000.02,-0.000141038,30.9822,,0.516151,0.0907436,0.524067,,-0.00845258,0.00210695,-6.83833,fluid
160,-0.0132292,0.0579608,,1000.02,-3.74491e-05,36.7186,,0.515552,0.0969526,0.524589,,-0.008002,0.00180178,-5.67925,fluid
161,-0.0183715,0.0565416,,1000.02,-0.000331135,41.4705,,0.509186,0.101403,0.519185,,-0.00641765,0.00221747,-4.68129,fluid
162,-0.0233659,0.0546672,,1000.03,-0.000444919,49.533,,0.498246,0.102275,0.508635,,-0.00679594,0.00223087,-3.88034,fluid
163,-0.0281721,0.0523526,,1000.03,-0.000717981,59.891,,0.487003,0.10035,0.497235,,-0.00610186,0.00228355,-3.25099,fluid
164,-0.0327516,0.0496165,,1000.04,-0.000813528,71.3507,,0.475821,0.096965,0.4856,,-0.0061345,0.00210562,-2.78118,fluid
165,-0.0370673,0.046481,,1000.04,-0.000968003,83.0786,,0.465239,0.0930703,0.474457,,-0.00607094,0.00186442,-2.40764,fluid
166,-0.0410846,0.0429712,,1000.05,-0.000991759,94.677,,0.455209,0.0887735,0.463785,,-0.0060136,0.00169881,-2.08219,fluid
167,-0.0447711,0.0391154,,1000.05,-0.00100003,104.979,,0.445221,0.083203,0.452929,,-0.00596039,0.00154792,-1.79083,fluid
168,-0.0480972,0.0349446,,1000.06,-0.00104058,114.023,,0.43529,0.0762298,0.441914,,-0.00591446,0.00137289,-1.51498,fluid
169,-0.051036,0.0304926,,1000.06,-0.00107704,121.908,,0.426205,0.0679625,0.43159,,-0.00591761,0.00118484,-1.24758,fluid
170,-0.0535638,0.025795,,1000.07,-0.00111375,129.107,,0.41852,0.0585985,0.422602,,-0.00587739,0.00100606,-0.994042,fluid
171,-0.0556605,0.0208897,,1000.07,-0.00114902,135.313,,0.411815,0.0480107,0.414605,,-0.00584887,0.000811034,-0.768864,fluid
172,-0.0573089,0.0158163,,1000.07,-0.00117565,140.305,,0.406382,0.0366148,0.408028,,-0.00585261,0.000615997,-0.558068,fluid
173,-0.058496,0.0106155,,1000.07,-0.00118426,144.07,,0.402532,0.0247594,0.403292,,-0.00584333,0.000374076,-0.352606,fluid
174,-0.0592121,0.00532918,,1000.07,-0.00120416,146.93,,0.400354,0.0122376,0.400541,,-0.00582091,0.000205592,-0.169466,fluid
175,-0.0594514,7.28069e-18,,1000.08,-0.00120863,147.851,,0.399788,1.74653e-14,0.399788,,-0.00582887,-1.22541e-13,7.35612e-13,fluid
176,-0.0592121,-0.00532918,,1000.07,-0.00120416,146.93,,0.400354,-0.0122376,0.400541,,-0.00582091,-0.000205592,0.169466,fluid
177,-0.058496,-0.0106155,,1000.07,-0.00118426,144.07,,0.402532,-0.0247594,0.403292,,-0.00584333,-0.000374076,0.352606,fluid
178,-0.0573089,-0.0158163,,1000.07,-0.00117565,140.305,,0.406382,-0.0366148,0.408028,,-0.00585261,-0.000615997,0.558068,fluid
179,-0.0556605,-0.0208897,,1000.07,-0.00114902,135.313,,0.411815,-0.0480107,0.414605,,-0.00584887,-0.000811034,0.768864,fluid
180,-0.0535638,-0.025795,,1000.07,-0.00111375,129.107,,0.41852,-0.0585985,0.422602,,-0.00587739,-0.00100606,0.994042,fluid
181,-0.051036,-0.0304926,,1000.06,-0.00107704,121.908,,0.426205,-0.0679625,0.43159,,-0.00591761,-0.00118484,1.24758,fluid
182,-0.0480972,-0.0349446,,1000.06,-0.00104058,114.023,,0.43529,-0.0762298,0.441914,,-0.00591446,-0.00137289,1.51498,fluid
183,-0.0447711,-0.0391154,,1000.05,-0.00100003,104.979,,0.445221,-0.083203,0.452929,,-0.00596039,-0.00154792,1.79083,fluid
184,-0.0410846,-0.0429712,,1000.05,-0.00099176,94.677,,0.455209,-0.0887735,0.463785,,-0.0060136,-0.00169881,2.08219,fluid
185,-0.0370673,-0.046481,,1000.04,-0.000968004,83.0786,,0.465239,-0.0930703,0.474457,,-0.00607094,-0.00186442,2.40764,fluid
186,-0.0327516,-0.0496165,,1000.04,-0.000813529,71.3507,,0.475821,-0.096965,0.4856,,-0.0061345,-0.00210562,2.78118,fluid
187,-0.0281721,-0.0523526,,1000.03,-0.000717982,59.891,,0.487003,-0.10035,0.497235,,-0.00610186,-0.00228355,3.25099,fluid
188,-0.0233659,-0.0546672,,1000.03,-0.000444918,49.533,,0.498246,-0.102275,0.508635,,-0.00679594,-0.00223087,3.88034,fluid
189,-0.0183715,-0.0565416,,1000.02,-0.000331135,41.4705,,0.509186,-0.101403,0.519185,,-0.00641765,-0.00221747,4.68129,fluid
190,-0.0132292,-0.0579608,,1000.02,-3.7449e-05,36.7186,,0.515552,-0.0969526,0.524589,,-0.008002,-0.00180178,5.67925,fluid
191,-0.00798035,-0.0589133,,1000.02,-0.000141038,30.9822,,0.516151,-0.0907436,0.524067,,-0.00845258,-0.00210695,6.83833,fluid
192,-0.00266728,-0.0593915,,1000.01,-0.000507529,21.9625,,0.512306,-0.0833579,0.519043,,-0.00909556,-0.00194316,8.07864,fluid
193,0.00266728,-0.0593915,,1000,-0.000484129,7.16477,,0.502626,-0.0749623,0.508186,,-0.00997712,-0.00186926,9.36259,fluid
194,0.00798035,-0.0589133,,999.997,-0.000109433,-5.30261,,0.486689,-0.0668941,0.491265,,-0.0110523,-0.00196408,10.6482,fluid
195,0.0132292,-0.0579608,,999.993,0.00052114,-13.5526,,0.462946,-0.059357,0.466736,,-0.0121327,-0.00187806,11.845,fluid
196,0.0183715,-0.0565416,,999.99,0.000621735,-20.2492,,0.432452,-0.0523586,0.43561,,-0.0130675,-0.00197061,12.7099,fluid
197,0.0233659,-0.0546672,,999.986,0.00103845,-26.6146,,0.39735,-0.0470747,0.400129,,-0.0133801,-0.00238091,13.0174,fluid
198,0.0281721,-0.0523526,,999.984,0.00206971,-31.3776,,0.362019,-0.0433029,0.3646,,-0.0128777,-0.00249482,12.6056,fluid
199,0.0327516,-0.0496165,,999.981,0.00322848,-37.5857,,0.328748,-0.0407801,0.331267,,-0.0125906,-0.00212481,11.4738,fluid
200,0.0370673,-0.046481,,999.977,0.00470266,-44.6368,,0.299682,-0.0392808,0.302246,,-0.0125077,-0.00111396,9.76948,fluid
201,0.0410846,-0.0429712,,999.973,0.00573719,-52.1866,,0.277255,-0.0366558,0.279668,,-0.0126146,0.000112843,7.64943,fluid
202,0.0447711,-0.0391154,,999.966,0.00688518,-65.9225,,0.262344,-0.0325774,0.264359,,-0.0112372,3.8563e-05,5.15955,fluid
203,0.0480972,-0.0349446,,999.955,0.00476572,-87.7261,,0.254468,-0.0302544,0.25626,,-0.00766651,-0.00235701,2.33604,fluid
